,f,m,cbse,icse,na,state,cbse,icse,na,state,B.Tech/B.E.,M.Sc. (Tech.),M.Tech./M.E.,MCA,computer,mechanical,biotechnology,science,applied,instrumentation,electronics,electrical,application,production,information,telecommunications,technology,civil,industrial,control,engineering,other,Andhra Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Meghalaya,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Union Territory,Uttar Pradesh,Uttarakhand,West Bengal,myDOB,12age,gradage,GraduationYear,12graduation,10percentage,12percentage,CollegeTier,collegeGPA,CollegeCityTier,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
32,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,18,22,2013,2009,87,84.4,1,79.3,1,570,475,295,0.413838256,385,0,0,0,0,0,0,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,360000
33,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1992,18,22,2014,2010,73,68.4,2,74.3,1,560,530,605,0.911395278,445,0,500,0,0,0,0,-0.7335,0.5454,-0.7585,-0.6147,1.4386,145000
34,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1989,20,24,2013,2009,71,68,2,70.86,0,430,510,405,0.356536488,465,0,346,0,0,0,0,1.5644,1.0449,0.3174,-1.8824,1.0554,215000
35,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1990,18,21,2011,2008,85,61,2,64.98,0,570,475,430,0,0,0,0,0,0,0,0,-0.4854,-0.5213,2.1129,-0.735,1.8224,350000
36,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1992,17,21,2013,2009,91.5,93.8,1,74.1,1,380,535,530,0.525922584,415,0,0,0,0,0,0,-1.0208,0.2124,0.4711,0.2727,-0.0943,270000
37,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1993,17,21,2014,2010,77,85.4,2,63.9,0,475,605,415,0.649389715,435,356,0,0,0,0,0,0.2718,0.5454,0.3174,-1.8824,-0.4776,80000
38,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1991,16,22,2013,2007,52.33,67,2,77.15,0,450,525,545,0.735795709,475,0,0,0,0,0,0,-0.0154,1.2114,0.6248,0.7798,0.8637,330000
39,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,17,21,2012,2008,88,89.66,2,76.4,0,510,640,635,0.124502074,0,233,0,0,0,0,0,0.3941,1.2808,0.2366,-2.1998,-0.4455,200000
40,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1989,18,22,2011,2007,66.6,68.6,2,60.22,0,425,595,475,0.130441736,0,0,0,286,0,0,0,-0.4173,0.3448,0.0914,-0.4078,0.6603,120000
41,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1992,17,22,2014,2009,75,60,2,66,0,380,545,460,0.356536488,395,0,346,0,0,0,0,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,145000
42,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1991,19,23,2014,2010,91.4,73,1,71,0,555,560,825,0.23780284,525,0,315,0,0,0,0,-0.0154,0.2578,-0.5349,-1.1218,-1.359,350000
43,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1993,17,21,2014,2010,59,87.7,2,71.04,1,300,340,355,0.112139438,155,228,0,0,0,0,0,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,120000
44,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,18,22,2011,2007,84.5,82.5,2,92.1,0,425,525,515,0.377551419,375,0,0,0,0,0,0,0.51,0.6568,-0.6343,0.2973,0.1864,380000
45,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1992,18,22,2014,2010,95.8,87.16,2,79,0,430,395,500,0.066960707,0,0,0,253,0,0,0,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,110000
46,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,17,21,2012,2008,85.6,82,2,74.01,0,370,495,455,0.080055281,445,0,253,0,0,0,0,0.1282,0.5454,0.1637,-0.4879,0.8637,205000
47,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1992,16,20,2012,2008,69.6,71.4,2,77,0,485,415,575,0.925645767,0,0,0,0,0,0,0,-0.4173,0.6568,-0.7794,1.7074,0.1864,95000
48,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1991,18,22,2013,2009,86.6,75,2,74,0,505,545,565,0.356536488,475,0,346,0,0,0,0,-2.5039,0.0328,0.3817,0.26793,0.5024,390000
49,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,18,22,2011,2007,81.92,61.46,2,57.54,1,565,465,415,0.843123727,515,0,0,0,0,0,0,1.2828,1.7488,1.8331,-2.2879,1.1343,270000
50,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1988,17,23,2011,2005,66.5,49.5,2,89.7,0,505,505,485,0.916869961,555,0,0,0,0,0,0,-1.0355,0.0328,-2.2308,1.0024,0.3444,60000
51,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,18,22,2013,2009,80,72.5,2,57.8,0,580,485,455,0.783303537,405,388,0,0,0,0,0,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,120000
52,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1992,18,22,2014,2010,85.2,81.5,2,57.64,0,545,385,485,0.600057182,435,0,0,0,0,0,0,1.1336,0.3789,1.0859,0.653,0.2889,400000
53,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1991,19,23,2014,2010,89.25,78,2,80,1,570,510,545,0.792936278,0,0,0,0,484,0,0,-0.159,-0.1206,-0.6048,-1.6289,-1.4356,350000
54,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,16,22,2014,2008,58.4,64.8,2,80,0,440,415,554,0.793580615,495,0,0,0,0,0,0,0.335,0.0924,-0.6582,-0.4821,-0.1543,120000
55,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,18,22,2014,2010,90.8,90.1,2,67.7,0,525,530,595,0.486747008,485,0,376,0,0,0,0,-0.3027,0.7119,-0.2974,1.1601,-0.4776,250000
56,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,17,22,2011,2006,78,70.1,2,68.2,0,415,595,495,0.694479328,0,366,0,0,0,0,0,0.8192,-0.0842,-0.598,-0.6428,-0.6035,240000
57,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1989,18,22,2011,2007,89.88,95.4,2,80.8,1,555,475,635,0.694479328,0,366,0,0,0,420,0,0.3555,-0.2793,-0.6343,-0.2902,-0.2875,525000
58,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1990,18,23,2013,2008,63.3,61.1,2,66.9,0,420,510,665,0.112139438,0,228,0,0,0,0,0,-1.0208,-0.6201,-0.2974,-0.1076,-1.244,200000
59,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1977,18,34,2011,1995,72,49,2,55,0,640,460,250,0.525922584,415,300,0,366,0,0,400,-0.3014,-0.4353,-0.9245,-0.349,-0.4455,120000
60,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1991,18,22,2013,2009,83,79,2,70,1,430,410,310,0.165633092,305,0,0,0,0,0,0,-0.159,-0.1206,0.1637,1.5404,-0.0943,305000
61,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1993,17,21,2014,2010,85.3,88.3,2,85,1,370,375,325,0.356536488,315,0,346,0,0,0,0,1.8517,1.5444,0.3174,0.3995,0.6721,300000
62,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1991,18,23,2014,2009,81,77.8,2,65.35,0,535,510,390,0.20739217,0,260,0,0,0,260,0,-1.1644,-0.9531,0.01,-0.7415,-0.8608,145000
63,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1992,16,21,2013,2008,60.66,62.4,2,69.3,0,370,410,470,0.755375121,315,0,0,446,0,0,0,-2.2351,-2.6847,-2.6028,0.3995,-5.477,150000
64,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,18,24,2010,2004,78,83,1,72.13,1,444,555,695,0.999904558,804,0,0,0,0,0,0,0.6646,0.3448,0.8171,0.6498,0.0284,600000
